id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_index,cons_conf_index,lending_rate3m,nr_employed,subscribe
1,51,admin.,divorced,professional.course,no,yes,yes,cellular,aug,mon,4621,1,112,2,failure,1.4,90.81,-35.53,0.69,5219.74,no
2,50,services,married,high.school,unknown,yes,no,cellular,may,mon,4715,1,412,2,nonexistent,-1.8,96.33,-40.58,4.05,4974.79,yes
3,48,blue-collar,divorced,basic.9y,no,no,no,cellular,apr,wed,171,0,1027,1,failure,-1.8,96.33,-44.74,1.5,5022.61,no
4,26,entrepreneur,single,high.school,yes,yes,yes,cellular,aug,fri,359,26,998,0,nonexistent,1.4,97.08,-35.55,5.11,5222.87,yes
5,45,admin.,single,university.degree,no,no,no,cellular,nov,tue,3178,1,240,4,success,-3.4,89.82,-33.83,1.17,4884.7,no
6,47,management,married,unknown,no,no,no,cellular,jul,thu,817,1,10,3,nonexistent,1.4,94.58,-30.37,3.55,5257.02,no
7,33,technician,married,high.school,no,yes,no,cellular,aug,mon,76,2,1009,0,nonexistent,1.4,94.93,-35.12,4.74,5018.97,no
8,40,technician,married,basic.9y,yes,no,unknown,cellular,apr,mon,4391,36,934,4,success,1.4,94.44,-33.52,4.61,5452.31,no
9,47,services,married,high.school,no,no,no,cellular,aug,thu,161,0,959,0,nonexistent,1.4,95.4,-37.65,5.09,5358.8,no
10,53,housemaid,married,unknown,no,no,no,cellular,aug,fri,2437,0,594,6,success,-2.9,93.17,-28.27,2.3,4988.07,yes
11,37,self-employed,married,university.degree,no,no,no,telephone,jun,mon,2746,1,703,5,success,-1.7,92.83,-35.22,1.63,5333.01,yes
12,55,housemaid,married,university.degree,no,no,no,cellular,jul,wed,384,1,980,0,nonexistent,1.4,91.85,-41.03,4.95,5254.24,no
13,36,technician,single,professional.course,no,yes,yes,cellular,aug,thu,135,0,1003,0,nonexistent,1.4,97.27,-36.6,4.88,5296.06,no
14,30,blue-collar,single,high.school,no,yes,no,cellular,may,thu,222,1,957,0,nonexistent,-1.8,92.7,-46.06,1.22,4900.23,no
